stage_id,n,mean,std,ci95_low,ci95_high
S0_125M,1.0,6.583984375,0.0,6.583984375,6.583984375
S0_PRETRAIN_FA_125M,1.0,3.524169921875,0.0,3.524169921875,3.524169921875
S1_125M,1.0,6.5418243408203125,0.0,6.5418243408203125,6.5418243408203125
S2_125M,1.0,3.917266845703125,0.0,3.917266845703125,3.917266845703125
S2_ADAPT_125M,1.0,4.32745361328125,0.0,4.32745361328125,4.32745361328125
S3_125M,1.0,3.2729225158691406,0.0,3.2729225158691406,3.2729225158691406
S3_PRETRAIN_E2E_125M,1.0,3.481170654296875,0.0,3.481170654296875,3.481170654296875
