metric,s1_s0_delta,s1_s0_ci95_low,s1_s0_ci95_high,s1_s0_n,s2_s1_delta,s2_s1_ci95_low,s2_s1_ci95_high,s2_s1_n,s2_s3_delta,s2_s3_ci95_low,s2_s3_ci95_high,s2_s3_n
loss_mean,-0.0421600341796875,-0.0421600341796875,-0.0421600341796875,1,-2.6245574951171875,-2.6245574951171875,-2.6245574951171875,1,0.6443443298339844,0.6443443298339844,0.6443443298339844,1
tokens_per_second_mean,225768.84429435022,225768.84429435022,225768.84429435022,1,-231288.23770121724,-231288.23770121724,-231288.23770121724,1,-6097.960537728766,-6097.960537728766,-6097.960537728766,1
