stage_id,n,mean,std,ci95_low,ci95_high
S0_125M,1.0,221333.4183297681,0.0,221333.4183297681,221333.4183297681
S0_PRETRAIN_FA_125M,1.0,160597.64152018592,0.0,160597.64152018592,160597.64152018592
S1_125M,1.0,447102.2626241183,0.0,447102.2626241183,447102.2626241183
S2_125M,1.0,215814.02492290107,0.0,215814.02492290107,215814.02492290107
S2_ADAPT_125M,1.0,122034.08555500608,0.0,122034.08555500608,122034.08555500608
S3_125M,1.0,221911.98546062983,0.0,221911.98546062983,221911.98546062983
S3_PRETRAIN_E2E_125M,1.0,128263.34733025605,0.0,128263.34733025605,128263.34733025605
