schema_version,paper_run_id,metric,stage_from,stage_to,n,mean_from,mean_to,delta,std_delta,ci95_low,ci95_high,unit,notes
1.0,protocol_r_125m_main_v1,loss_mean,S0_125M,S1_125M,1,6.583984375,6.5418243408203125,-0.0421600341796875,0.0,-0.0421600341796875,-0.0421600341796875,,S1-S0 degradation: stage_to - stage_from
1.0,protocol_r_125m_main_v1,tokens_per_second_mean,S0_125M,S1_125M,1,221333.4183297681,447102.2626241183,225768.84429435022,0.0,225768.84429435022,225768.84429435022,,S1-S0 degradation: stage_to - stage_from
