metric,s1_s0_delta,s1_s0_ci95_low,s1_s0_ci95_high,s1_s0_n,s2_s1_delta,s2_s1_ci95_low,s2_s1_ci95_high,s2_s1_n,s2_s3_delta,s2_s3_ci95_low,s2_s3_ci95_high,s2_s3_n
loss_mean,,,,,,,,,0.3187828063964844,0.3187828063964844,0.3187828063964844,1
tokens_per_second_mean,,,,,,,,,-2615.0237141136167,-2615.0237141136167,-2615.0237141136167,1
