schema_version,paper_run_id,metric,stage_from,stage_to,n,mean_from,mean_to,delta,std_delta,ci95_low,ci95_high,unit,notes
1.0,protocol_r_760m_author_seed_v1,loss_mean,S3,S2,1,2.675201416015625,2.9939842224121094,0.3187828063964844,0.0,0.3187828063964844,0.3187828063964844,,S2-S3 warm-start tax: stage_to - stage_from
1.0,protocol_r_760m_author_seed_v1,tokens_per_second_mean,S3,S2,1,74240.44711898209,71625.42340486847,-2615.0237141136167,0.0,-2615.0237141136167,-2615.0237141136167,,S2-S3 warm-start tax: stage_to - stage_from
